link,title,keywords,conclusion,dates,abstract
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7471641/,SARS-CoV-2 binds platelet ACE2 to enhance thrombosis in COVID-19,"COVID-19, Thrombosis, Platelet activation, ACE2, TMPRSS2","The COVID-19 pandemic has become a serious public health crisis worldwide since December 2019 [1]. COVID-19 has been linked to a number of critical cardiovascular complications [2, 3], and even individuals without a history of cardiovascular disease are at risk of cardiovascular complications [4]. Patients with severe COVID-19 commonly experience thrombotic disorders, sepsis, and disseminated intravascular coagulation (DIC), and these conditions have been closely linked to higher mortality rates [1, 5, 6]. Large-scale studies have revealed that 18.8% to 36.2% of patients [7, 8] present with thrombocytopenia on admission. In addition, the cumulative incidence of thrombotic complications for COVID-19 patients in the ICU was 31%, while only 1.3% of non-COVID-19 ICU patients experience thrombotic complications [9]. Although the evidence supports a link between COVID-19 and the development of a hypercoagulable state, the underlying mechanisms for this association remain elusive.",Published online 2020 Sep 4.,"Critically ill patients diagnosed with COVID-19 may develop a pro-thrombotic state that places them at a dramatically increased lethal risk. Although platelet activation is critical for thrombosis and is responsible for the thrombotic events and cardiovascular complications, the role of platelets in the pathogenesis of COVID-19 remains unclear."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7833750/,SARS-CoV-2 pathophysiology and its clinical implications: An integrative overview of the pharmacotherapeutic management of COVID-19,"SARS-C0V-2, Clinical signs, COVID-19 pandemic, Cancer, Cardiovascular system, Pulmonary system, Gastrointestinal system, Neurological system","Coronaviruses form a large family of viruses that can infect both humans and animals. Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) belongs to the family of Coronaviridae and causes COVID-19 disease, which is a respiratory illness (Wang et al., 2020a; Wu and McGoogan, 2020).",Published online 2020 Sep 30.,"Common manifestations of COVID-19 are respiratory and can extend from mild symptoms to severe acute respiratory distress. The severity of the illness can also extend from mild disease to life-threatening acute respiratory distress syndrome (ARDS). SARS-CoV-2 infection can also affect the gastrointestinal tract, liver and pancreatic functions, leading to gastrointestinal symptoms. Moreover, SARS-CoV-2 can cause central and peripheral neurological manifestations, affect the cardiovascular system and promote renal dysfunction. Epidemiological data have indicated that cancer patients are at a higher risk of contracting the SARS-CoV-2 virus. Considering the multitude of clinical symptoms of COVID-19, the objective of the present review was to summarize their pathophysiology in previously healthy patients, as well as in those with comorbidities. The present review summarizes the current, though admittedly fluid knowledge on the pathophysiology and symptoms of COVID-19 infection. Although unclear issues still remain, the present study contributes to a more complete understanding of the disease, and may drive the direction of new research. The recognition of the severity of the clinical symptoms of COVID-19 is crucial for the specific therapeutic management of affected patients."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7823949/,Endothelium Infection and Dysregulation by SARS-CoV-2: Evidence and Caveats in COVID-19,"COVID-19, SARS-CoV-2, ACE2, RAAS, bradykinin–kallikrein pathway, ADAM17, endothelial dysfunction, pericyte, immunothrombosis, therapeutics","Coronavirus disease-2019 (COVID-19) is primarily a respiratory illness caused by the severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2). In December 2019, pneumonia cases of unknown etiology were reported in Wuhan, the capital city of Hubei province in China [1,2], after which the new coronavirus spread globally and was consequently deemed a pandemic by the World Health Organization in March 2020 [3].",Published online 2020 Dec 26.,"The ongoing pandemic of coronavirus disease 2019 (COVID-19) caused by the acute respiratory syndrome-coronavirus-2 (SARS-CoV-2) poses a persistent threat to global public health. Although primarily a respiratory illness, extrapulmonary manifestations of COVID-19 include gastrointestinal, cardiovascular, renal and neurological diseases. Recent studies suggest that dysfunction of the endothelium during COVID-19 may exacerbate these deleterious events by inciting inflammatory and microvascular thrombotic processes. Although controversial, there is evidence that SARS-CoV-2 may infect endothelial cells by binding to the angiotensin-converting enzyme 2 (ACE2) cellular receptor using the viral Spike protein. In this review, we explore current insights into the relationship between SARS-CoV-2 infection, endothelial dysfunction due to ACE2 downregulation, and deleterious pulmonary and extra-pulmonary immunothrombotic complications in severe COVID-19. We also discuss preclinical and clinical development of therapeutic agents targeting SARS-CoV-2-mediated endothelial dysfunction. Finally, we present evidence of SARS-CoV-2 replication in primary human lung and cardiac microvascular endothelial cells. Accordingly, in striving to understand the parameters that lead to severe disease in COVID-19 patients, it is important to consider how direct infection of endothelial cells by SARS-CoV-2 may contribute to this process."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7384689/,The 2019–2020 Novel Coronavirus (Severe Acute Respiratory Syndrome Coronavirus 2) Pandemic: A Joint American College of Academic International Medicine-World Academic Council of Emergency Medicine Multidisciplinary COVID-19 Working Group Consensus Paper,"2019-nCoV, coronavirus, COVID-19, global impact, International Health Security, pandemic, severe acute respiratory syndrome coronavirus 2","In December 2019, Chinese authorities reported emergence of a cluster of severe respiratory infections of unknown etiology in Wuhan (Hubei Province, China).[15,16,17] Despite global efforts to slow the spread of the SARS-CoV-2 and “flatten the curve” [Figure 1], including population-level “social distancing” (physical separation of people so as not to contract the illness) and drastic travel restriction/quarantine measures, the disease relentlessly continued to expand its reach.[18,19,20,21,22] As of the writing of this Position Statement, the World Health Organization (WHO) has declared COVID-19 a pandemic[23,24] and the United States (US) has declared a National Emergency.[25,26] With more than 4.3 million people with documented SARS-CoV-2 infection and more than 290,000 deaths, the malady continues to spread around the globe.[27,28] The coronavirus responsible for COVID-19 has been likened to a bulldozer, capable of causing widespread severe illness and deaths with terrifying speed, and affecting those who are most vulnerable.[29,30]",Published online 2020 May 22.,"What started as a cluster of patients with a mysterious respiratory illness in Wuhan, China, in December 2019, was later determined to be coronavirus disease 2019 (COVID-19). The pathogen severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a novel Betacoronavirus, was subsequently isolated as the causative agent. SARS-CoV-2 is transmitted by respiratory droplets and fomites and presents clinically with fever, fatigue, myalgias, conjunctivitis, anosmia, dysgeusia, sore throat, nasal congestion, cough, dyspnea, nausea, vomiting, and/or diarrhea. In most critical cases, symptoms can escalate into acute respiratory distress syndrome accompanied by a runaway inflammatory cytokine response and multiorgan failure. As of this article's publication date, COVID-19 has spread to approximately 200 countries and territories, with over 4.3 million infections and more than 290,000 deaths as it has escalated into a global pandemic. Public health concerns mount as the situation evolves with an increasing number of infection hotspots around the globe. New information about the virus is emerging just as rapidly. This has led to the prompt development of clinical patient risk stratification tools to aid in determining the need for testing, isolation, monitoring, ventilator support, and disposition. COVID-19 spread is rapid, including imported cases in travelers, cases among close contacts of known infected individuals, and community-acquired cases without a readily identifiable source of infection. Critical shortages of personal protective equipment and ventilators are compounding the stress on overburdened healthcare systems. The continued challenges of social distancing, containment, isolation, and surge capacity in already stressed hospitals, clinics, and emergency departments have led to a swell in technologically-assisted care delivery strategies, such as telemedicine and web-based triage. As the race to develop an effective vaccine intensifies, several clinical trials of antivirals and immune modulators are underway, though no reliable COVID-19-specific therapeutics (inclusive of some potentially effective single and multi-drug regimens) have been identified as of yet. With many nations and regions declaring a state of emergency, unprecedented quarantine, social distancing, and border closing efforts are underway. Implementation of social and physical isolation measures has caused sudden and profound economic hardship, with marked decreases in global trade and local small business activity alike, and full ramifications likely yet to be felt. Current state-of-science, mitigation strategies, possible therapies, ethical considerations for healthcare workers and policymakers, as well as lessons learned for this evolving global threat and the eventual return to a “new normal” are discussed in this article."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7405836/,Coronavirus Disease 2019–COVID-19,"COVID-19, emerging coronavirus, SARS-CoV-2, diagnosis, One Health, therapy, vaccines","Over the past 2 decades, coronaviruses (CoVs) have been associated with significant disease outbreaks in East Asia and the Middle East. The severe acute respiratory syndrome (SARS) and the Middle East respiratory syndrome (MERS) began to emerge in 2002 and 2012, respectively. Recently, a novel coronavirus, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), causing coronavirus disease 2019 (COVID-19), emerged in late 2019, and it has posed a global health threat, causing an ongoing pandemic in many countries and territories (1).",Published online 2020 Jun 24.,"In recent decades, several new diseases have emerged in different geographical areas, with pathogens including Ebola virus, Zika virus, Nipah virus, and coronaviruses (CoVs). Recently, a new type of viral infection emerged in Wuhan City, China, and initial genomic sequencing data of this virus do not match with previously sequenced CoVs, suggesting a novel CoV strain (2019-nCoV), which has now been termed severe acute respiratory syndrome CoV-2 (SARS-CoV-2). Although coronavirus disease 2019 (COVID-19) is suspected to originate from an animal host (zoonotic origin) followed by human-to-human transmission, the possibility of other routes should not be ruled out. Compared to diseases caused by previously known human CoVs, COVID-19 shows less severe pathogenesis but higher transmission competence, as is evident from the continuously increasing number of confirmed cases globally. Compared to other emerging viruses, such as Ebola virus, avian H7N9, SARS-CoV, and Middle East respiratory syndrome coronavirus (MERS-CoV), SARS-CoV-2 has shown relatively low pathogenicity and moderate transmissibility. Codon usage studies suggest that this novel virus has been transferred from an animal source, such as bats. Early diagnosis by real-time PCR and next-generation sequencing has facilitated the identification of the pathogen at an early stage. Since no antiviral drug or vaccine exists to treat or prevent SARS-CoV-2, potential therapeutic strategies that are currently being evaluated predominantly stem from previous experience with treating SARS-CoV, MERS-CoV, and other emerging viral diseases. In this review, we address epidemiological, diagnostic, clinical, and therapeutic aspects, including perspectives of vaccines and preventive measures that have already been globally recommended to counter this pandemic virus."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7652766/,A 21st Century Evil: Immunopathology and New Therapies of COVID-19,"Severe Acute Respiratory Syndrome Coronavirus 2, Coronavirus Disease 2019, immunopathology, cytokine storm, cellular exhaustion, treatment, coronavirus","The ongoing outbreak of Coronavirus Disease 2019 (COVID-19) has been classified as a threat of international concern and a public health emergency, having affected almost 30 million people and killed more than 900,000 around the world so far, according to the World Health Organization (WHO) (1). The etiologic agent of this pandemic is Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), the third coronavirus to have emerged as a public health issue and to cause an outbreak in the human population over the past two decades (2). This is the nomenclature referred to in this paper (3), which is derived from its similarity to the SARS-CoV virus that caused the outbreak in 2003, which is now known as “SARS-CoV-1”.",Published online 2020 Oct 27.,"Coronavirus Disease 2019 (COVID-19) has been classified as a global threat, affecting millions of people and killing thousands. It is caused by the SARS-CoV-2 virus, which emerged at the end of 2019 in Wuhan, China, quickly spreading worldwide. COVID-19 is a disease with symptoms that range from fever and breathing difficulty to acute respiratory distress and death, critically affecting older patients and people with previous comorbidities. SARS-CoV-2 uses the angiotensin-converting enzyme 2 (ACE2) receptor and mainly spreads through the respiratory tract, which it then uses to reach several organs. The immune system of infected patients has been demonstrated to suffer important alterations, such as lymphopenia, exhausted lymphocytes, excessive amounts of inflammatory monocytes and macrophages, especially in the lungs, and cytokine storms, which may contribute to its severity and difficulty of establishing an effective treatment. Even though no specific treatment is currently available, several studies have been investigating potential therapeutic strategies, including the use of previously approved drugs and immunotherapy. In this context, this review addresses the interaction between SARS-CoV-2 and the patient’s host immune system during infection, in addition to discussing the main immunopathological mechanisms involved in the development of the disease and potential new therapeutic approaches."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7200337/,Immunology of COVID-19: Current State of the Science,null,null,Published online 2020 May 6.,"The coronavirus disease 2019 (COVID-19) pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has affected millions of people worldwide, igniting an unprecedented effort from the scientific community to understand the biological underpinning of COVID19 pathophysiology. In this Review, we summarize the current state of knowledge of innate and adaptive immune responses elicited by SARS-CoV-2 infection and the immunological pathways that likely contribute to disease severity and death. We also discuss the rationale and clinical outcome of current therapeutic strategies as well as prospective clinical trials to prevent or treat SARS-CoV-2 infection."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7821609/,An immune-based biomarker signature is associated with mortality in COVID-19 patients,"COVID-19, Immunology","COVID-19 is a new human viral disease caused by SARS-CoV-2, an enveloped RNA beta coronavirus that emerged in China and spread globally, causing 1,460,000 deaths as of November 30, 2020 (1). The majority of affected individuals exhibit no or mild to moderate symptoms, but up to 15% of patients develop severe pneumonia with approximately 6% progressing to acute respiratory distress syndrome (ARDS) and multiorgan failure (2). Approximately one-fourth of subjects hospitalized with COVID-19–associated pneumonia require respiratory support in an intensive care unit (ICU), and the need for invasive mechanical ventilation (IMV) has been associated with high mortality (3–5). Older age, male sex, and the presence of certain comorbidities (e.g., diabetes, cardiovascular disease) have been identified as predictors of poor outcomes (5); however, even younger and generally healthy individuals can suffer from COVID-19–associated respiratory failure (6). Both virus-specific factors and host inflammatory responses have been implicated in determining disease severity and clinical outcome (7–9). It has been proposed that ineffective early innate antiviral response followed by impaired adaptive immune responses and hyperinflammation may lead to microthrombosis and tissue injury, resulting in ARDS, multiorgan failure, and death (10).",null,null
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7808408/,Comparative host-coronavirus protein interaction networks reveal pan-viral disease mechanisms,null,null,Published online 2021 Jan 11.,"Immune and inflammatory responses to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) contribute to disease severity of coronavirus disease 2019 (COVID-19). However, the utility of specific immune-based biomarkers to predict clinical outcome remains elusive. Here, we analyzed levels of 66 soluble biomarkers in 175 Italian patients with COVID-19 ranging from mild/moderate to critical severity and assessed type I IFN–, type II IFN–, and NF-κB–dependent whole-blood transcriptional signatures. A broad inflammatory signature was observed, implicating activation of various immune and nonhematopoietic cell subsets. Discordance between IFN-α2a protein and IFNA2 transcript levels in blood suggests that type I IFNs during COVID-19 may be primarily produced by tissue-resident cells. Multivariable analysis of patients’ first samples revealed 12 biomarkers (CCL2, IL-15, soluble ST2 [sST2], NGAL, sTNFRSF1A, ferritin, IL-6, S100A9, MMP-9, IL-2, sVEGFR1, IL-10) that when increased were independently associated with mortality. Multivariate analyses of longitudinal biomarker trajectories identified 8 of the aforementioned biomarkers (IL-15, IL-2, NGAL, CCL2, MMP-9, sTNFRSF1A, sST2, IL-10) and 2 additional biomarkers (lactoferrin, CXCL9) that were substantially associated with mortality when increased, while IL-1α was associated with mortality when decreased. Among these, sST2, sTNFRSF1A, IL-10, and IL-15 were consistently higher throughout the hospitalization in patients who died versus those who recovered, suggesting that these biomarkers may provide an early warning of eventual disease outcome."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7370876/,COVID-19 and cardiovascular disease: from basic mechanisms to clinical perspectives,null,null,Published online 2020 Oct 15.,"The COVID-19 pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), is a grave threat to public health and the global economy. SARS-CoV-2 is closely related to the more lethal but less transmissible coronaviruses SARS-CoV-1 and Middle East respiratory syndrome coronavirus (MERS-CoV). Here, we have carried out comparative viral-human protein-protein interaction and viral protein localization analyses for all three viruses. Subsequent functional genetic screening identified host factors that functionally impinge on coronavirus proliferation, including Tom70, a mitochondrial chaperone protein that interacts with both SARS-CoV-1 and SARS-CoV-2 ORF9b, an interaction we structurally characterized using cryo–electron microscopy. Combining genetically validated host factors with both COVID-19 patient genetic data and medical billing records identified molecular mechanisms and potential drug treatments that merit further molecular and clinical study."
